id,idpel,nama,koordinat_x,koordinat_y,nama_kabupaten,nama_kecamatan,nama_kelurahan
696233,533211952263,"PJU *** **** ****",-6.98229750000000,108.63053330000000,"KAB. KUNINGAN",CIDAHU,CIHIDEUNGHILIR
696234,533211952271,"PJU ********* ******",-6.97920080000000,108.61851310000000,"KAB. KUNINGAN",CIDAHU,CIHIDEUNGGIRANG
696235,533211952297,"PJU *****",-6.96504240000000,108.67368050000000,"KAB. KUNINGAN",CIDAHU,LEGOK
696236,533212925985,"PJU *** **** *** *******",-6.95325000000000,108.56373000000000,"KAB. KUNINGAN",CIPICUNG,SUKAMUKTI
696237,533212922619,"PJU *** **** *** *******",-7.01164010000000,108.42914540000000,"KAB. KUNINGAN",NUSAHERANG,KERTAWIRAMA
696238,533212925815,"PJU *** **** *******",-6.97481100000000,108.59794200000000,"KAB. KUNINGAN",CIAWIGEBANG,KADURAMA
696239,533212921219,"PJU *** **** *** *******",-6.98006300000000,108.59235590000000,"KAB. KUNINGAN",CIBEUREUM,SUKADANA
696240,533212926244,"PJU *** **** *** *******",-6.93376700000000,108.57643900000000,"KAB. KUNINGAN",CIAWIGEBANG,SUKARAJA
696241,533212925595,"PJU *** **** *******",-6.93170000000000,108.60860000000000,"KAB. KUNINGAN",CIAWIGEBANG,SUKADANA
696242,533212923877,"PJU *** **** *** *******",-7.04533360000000,108.40146030000000,"KAB. KUNINGAN",DARMA,SAKERTABARAT
696243,533212925640,"PJU *** **** ********",-6.96910000000000,108.56370000000000,"KAB. KUNINGAN",CIAWIGEBANG,DUKUHDALEM
696244,533212925752,"PJU *** **** ** *******",-6.98006140000000,108.59236350000000,"KAB. KUNINGAN",CIAWIGEBANG,SUKARAJA
696246,533212905626,"PJU ****** *** **********",-6.94509720000000,108.57331440000000,"KAB. KUNINGAN",CIAWIGEBANG,CIHAUR
696247,533212905514,"PJU ****** *** **********",-6.94760588300000,108.57219250000000,"KAB. KUNINGAN",CIAWIGEBANG,CIHAUR
696248,533212918360,"PJU *** **** ** *******",-7.02136200000000,108.59422200000000,"KAB. KUNINGAN",LEBAKWANGI,CINEUMBEUY
696249,533212918569,"PJU *** **** ***** ******",-6.96872410000000,108.45059280000000,"KAB. KUNINGAN",CIGUGUR,CIGUGUR
696250,533212919546,"PJU *** **** *** *******",-6.97796740000000,108.48756540000000,"KAB. KUNINGAN",KUNINGAN,KUNINGAN
696251,533212923420,"PJU *** **** *** ******",-6.98998300000000,108.43573000000000,"KAB. KUNINGAN",KADUGEDE,CIHERANG
696252,533212918743,"PJU *** **** *******",-7.04986700000000,108.61196700000000,"KAB. KUNINGAN",MALEBER,GARAHAJI
696253,533212922286,"PJU *** **** *******",-6.95970000000000,108.70030000000000,"KAB. KUNINGAN",CIMAHI,SUKAJAYA
696254,533212919148,"PJU *** **** *** *******",-6.98471170000000,108.53502330000000,"KAB. KUNINGAN",SINDANGAGUNG,SINDANGAGUNG
696255,533212922133,"PJU *** **** *** *******",-6.96170000000000,108.68200000000000,"KAB. KUNINGAN",CIMAHI,CIKEUSAL
696256,533212924407,"PJU *** **** *** *******",-6.97081400000000,108.65269600000000,"KAB. KUNINGAN",CIDAHU,CIEURIH
696257,533212925200,"PJU *** **** *** ******",-7.38258000000000,108.62421000000000,"KAB. KUNINGAN",LURAGUNG,WILANAGARA
696258,533212925234,"PJU *** **** ** ******",-6.94160000000000,108.64210200000000,"KAB. KUNINGAN",LURAGUNG,GUNUNGKARUNG
696259,533212924776,"PJU *** **** *** ********",-6.97231200000000,108.53807700000000,"KAB. KUNINGAN",SINDANGAGUNG,MEKARMUKTI
696260,533212918983,"PJU *** **** ********",-7.05838300000000,108.52967500000000,"KAB. KUNINGAN",CINIRU,CIPEDES
696261,533212924991,"PJU *** **** ********",-6.98037100000000,108.45068600000000,"KAB. KUNINGAN",CIGUGUR,CILEULEUY
696262,533212922308,"PJU *** **** *******",-6.98850000000000,108.69660000000000,"KAB. KUNINGAN",CIMAHI,CIMAHI
696263,533212924622,"PJU *** **** *** *******",-7.10854800000000,108.64277500000000,"KAB. KUNINGAN",KARANGKANCANA,MARGACINA
696264,533212920593,"PJU *** **** *** *******",-7.03149800000000,108.57858500000000,"KAB. KUNINGAN",MALEBER,BUNIASIH
696265,533212922079,"PJU *** **** ***  *******",-6.96410000000000,108.60360000000000,"KAB. KUNINGAN",CIMAHI,MULYAJAYA
696266,533212922061,"PJU *** **** ***  *******",-6.98000000000000,108.67902000000000,"KAB. KUNINGAN",CIMAHI,KANANGA
696267,533212924423,"PJU *** **** *******",-6.97569900000000,108.63451600000000,"KAB. KUNINGAN",CIDAHU,NANGGELA
696268,533212926078,"PJU *** **** *** *******",-6.98005900000000,108.59235690000000,"KAB. KUNINGAN",CIPICUNG,SUGANANGAN
696269,533212925339,"PJU *** **** *******",-6.91840630000000,108.54724400000000,"KAB. KUNINGAN",CIPICUNG,SUGANANGAN
696270,533212925538,"PJU *** **** *******",-6.95215300000000,108.57743700000000,"KAB. KUNINGAN",CIAWIGEBANG,CIHAUR
696271,533212923799,"PJU *** **** *******",-7.05750850000000,108.40028300000000,"KAB. KUNINGAN",DARMA,CAGEUR
696272,533212923893,"PJU *** **** *******",-7.07047290000000,108.39330320000000,"KAB. KUNINGAN",DARMA,TUGUMULYA
696273,533212923781,"PJU *** **** *******",-6.98383700000000,108.41659200000000,"KAB. KUNINGAN",DARMA,KARANGSARI
696274,533212964715,"PJU ****** *********** *",-6.96728170000000,108.61159040000000,"KAB. KUNINGAN",KALIMANGGIS,KALIMANGGISWETAN
696275,533212727361,"PJU ** ******",-6.98139910000000,108.63931740000000,"KAB. KUNINGAN",CIDAHU,CIDAHU
696276,533212727387,"PJU ** ******",-6.98023310000000,108.64261340000000,"KAB. KUNINGAN",CIDAHU,CIDAHU
696277,533212727353,"PJU ** ******",-6.98146800000000,108.64224970000000,"KAB. KUNINGAN",CIDAHU,CIDAHU
696278,533212743032,"PJU ****** *** ********",-6.93661860000000,108.58026790000000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696279,533212727266,"PJU ** ******",-6.98061400000000,108.64112880000000,"KAB. KUNINGAN",CIDAHU,CIDAHU
696280,533212742923,"PJU ****** *** ********",-6.93217860000000,108.57915470000000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696281,533212743040,"PJU ****** *** ********",-6.93661860000000,108.58026790000000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696282,533212743065,"PJU ****** *** ********",-6.95295290000000,108.57247550000000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696283,533212743057,"PJU ****** *** ********",-6.95403980000000,108.57729940000000,"KAB. KUNINGAN",CIAWIGEBANG,CIAWILOR
696284,533212740936,"PJU ****** *** ********",-7.04041600000000,108.50011930000000,"KAB. KUNINGAN",CINIRU,CINIRU
696285,533212740985,"PJU ****** *** ********",-7.04381400000000,108.49901240000000,"KAB. KUNINGAN",CINIRU,CINIRU
696286,533212740977,"PJU ****** *** ********",-7.04181350000000,108.50044880000000,"KAB. KUNINGAN",CINIRU,CINIRU
696287,533212740951,"PJU ****** *** ********",-7.04028280000000,108.49928160000000,"KAB. KUNINGAN",CINIRU,CINIRU
696288,533212740703,"PJU ****** *** ********",-7.05707510000000,108.50984450000000,"KAB. KUNINGAN",CINIRU,CIJEMIT
696289,533212740993,"PJU ****** *** ********",-7.04041600000000,108.50011930000000,"KAB. KUNINGAN",CINIRU,CINIRU
696290,533212740969,"PJU ****** *** ********",-7.04181350000000,108.50044880000000,"KAB. KUNINGAN",CINIRU,CINIRU
696291,533212618868,"PJU ****** *** ********",-6.91656170000000,108.59207870000000,"KAB. KUNINGAN",CIAWIGEBANG,PADARAMA
